,ID,duration,gamePeriod,health,number_alive,time,x,y
193,37,20,0.10000000149011612,100,97,20:42:44,2031.3709375,2745.1984375
198,88,21,0.10000000149011612,100,97,20:42:45,2052.6690625,2638.8621875
197,87,21,0.10000000149011612,100,97,20:42:45,2277.6675,3464.8728125
195,38,21,0.10000000149011612,100,97,20:42:45,2042.46046875,2689.83125
196,86,21,0.10000000149011612,100,97,20:42:45,2009.12765625,2937.154375
199,51,22,0.10000000149011612,100,97,20:42:46,2056.7715625,2618.379375
200,74,22,0.10000000149011612,100,97,20:42:46,2054.930625,2637.0675
201,60,22,0.10000000149011612,100,97,20:42:46,2074.1003125,2698.5225
202,45,22,0.10000000149011612,100,97,20:42:46,2064.5928125,2579.329375
203,61,22,0.10000000149011612,100,97,20:42:46,2065.1296875,2576.6484375
210,77,23,0.10000000149011612,100,97,20:42:47,2080.39625,2500.42640625
209,89,23,0.10000000149011612,100,97,20:42:47,2078.28296875,2510.9771875
208,63,23,0.10000000149011612,100,97,20:42:47,2078.28296875,2510.9771875
207,76,23,0.10000000149011612,100,97,20:42:47,2031.1990625,2742.1621875
205,75,23,0.10000000149011612,100,97,20:42:47,2075.7196875,2523.77546875
204,62,23,0.10000000149011612,100,97,20:42:47,2066.3846875,2564.225
206,39,23,0.10000000149011612,100,97,20:42:47,2077.3709375,2515.5315625
211,64,24,0.10000000149011612,100,97,20:42:48,1791.73953125,3155.7490625
212,90,24,0.10000000149011612,100,97,20:42:48,1990.60265625,2661.7921875
213,46,24,0.10000000149011612,100,97,20:42:48,2089.8984375,2452.9846875
214,52,24,0.10000000149011612,100,97,20:42:48,1828.87734375,3663.7953125
215,47,24,0.10000000149011612,100,97,20:42:48,2095.619375,2424.4209375
221,54,25,0.10000000149011612,100,97,20:42:49,2107.116875,2367.01671875
220,53,25,0.10000000149011612,100,97,20:42:49,2104.5646875,2379.7596875
219,40,25,0.10000000149011612,100,97,20:42:49,1980.055625,2615.539375
218,92,25,0.10000000149011612,100,97,20:42:49,1684.94171875,3150.605625
217,91,25,0.10000000149011612,100,97,20:42:49,1860.98828125,3569.88625
216,78,25,0.10000000149011612,100,97,20:42:49,2170.89859375,3529.9765625
222,79,26,0.10000000149011612,100,97,20:42:50,2111.206875,2346.59578125
223,80,26,0.10000000149011612,100,97,20:42:50,2228.39890625,3447.5903125
224,94,26,0.10000000149011612,100,97,20:42:50,2248.9396875,2861.1215625
225,93,26,0.10000000149011612,100,97,20:42:50,2122.05375,2292.44
226,41,26,0.10000000149011612,100,97,20:42:50,1958.51875,3049.37875
227,48,26,0.10000000149011612,100,97,20:42:50,2055.5953125,2686.1215625
234,55,27,0.10000000149011612,100,97,20:42:51,1679.34484375,2847.0396875
233,97,27,0.10000000149011612,100,97,20:42:51,2099.67484375,2429.6203125
231,82,27,0.10000000149011612,100,97,20:42:51,2000.22078125,3543.9659375
